"learner","rmse_median","pct_beats_zero","sign_both_rate","rec_sg1_p50","rec_sg2_p50"
"skern",2.25,NA,NA,NA,NA
"rkern",2.28,NA,NA,NA,NA
"rlasso",2.33,NA,NA,NA,NA
"ols_inter",2.34,NA,NA,NA,NA
"xkern",2.42,NA,NA,NA,NA
"tlasso",2.43,NA,NA,NA,NA
"xlasso",2.45,NA,NA,NA,NA
"slasso",2.51,NA,NA,NA,NA
"tkern",2.56,NA,NA,NA,NA
"xboost",3.28,NA,NA,NA,NA
"sboost",3.48,NA,NA,NA,NA
"rboost",3.62,NA,NA,NA,NA
"zero_pred",3.92,NA,NA,NA,NA
"tboost",5.67,NA,NA,NA,NA
"ols_inter",NA,97.8,NA,NA,NA
"ols_inter",NA,NA,84.8,NA,NA
"ols_inter",NA,NA,NA,0.67,NA
"ols_inter",NA,NA,NA,NA,0.56
"rboost",NA,75.5,NA,NA,NA
"rboost",NA,NA,46.7,NA,NA
"rboost",NA,NA,NA,0.43,NA
"rboost",NA,NA,NA,NA,0.2
"rkern",NA,92.9,NA,NA,NA
"rkern",NA,NA,86.4,NA,NA
"rkern",NA,NA,NA,0.78,NA
"rkern",NA,NA,NA,NA,0.68
"rlasso",NA,98.4,NA,NA,NA
"rlasso",NA,NA,85.9,NA,NA
"rlasso",NA,NA,NA,0.78,NA
"rlasso",NA,NA,NA,NA,0.76
"sboost",NA,76.1,NA,NA,NA
"sboost",NA,NA,75.5,NA,NA
"sboost",NA,NA,NA,0.56,NA
"sboost",NA,NA,NA,NA,0.48
"skern",NA,98.9,NA,NA,NA
"skern",NA,NA,85.9,NA,NA
"skern",NA,NA,NA,0.68,NA
"skern",NA,NA,NA,NA,0.56
"slasso",NA,97.8,NA,NA,NA
"slasso",NA,NA,73.9,NA,NA
"slasso",NA,NA,NA,0.57,NA
"slasso",NA,NA,NA,NA,0.45
"tboost",NA,0.5,NA,NA,NA
"tboost",NA,NA,70.7,NA,NA
"tboost",NA,NA,NA,0.57,NA
"tboost",NA,NA,NA,NA,0.66
"tkern",NA,95.1,NA,NA,NA
"tkern",NA,NA,89.1,NA,NA
"tkern",NA,NA,NA,0.74,NA
"tkern",NA,NA,NA,NA,0.69
"tlasso",NA,96.7,NA,NA,NA
"tlasso",NA,NA,85.9,NA,NA
"tlasso",NA,NA,NA,0.62,NA
"tlasso",NA,NA,NA,NA,0.55
"xboost",NA,84.2,NA,NA,NA
"xboost",NA,NA,73.9,NA,NA
"xboost",NA,NA,NA,0.55,NA
"xboost",NA,NA,NA,NA,0.53
"xkern",NA,94,NA,NA,NA
"xkern",NA,NA,87,NA,NA
"xkern",NA,NA,NA,0.73,NA
"xkern",NA,NA,NA,NA,0.63
"xlasso",NA,97.3,NA,NA,NA
"xlasso",NA,NA,77.2,NA,NA
"xlasso",NA,NA,NA,0.59,NA
"xlasso",NA,NA,NA,NA,0.47
"zero_pred",NA,0,NA,NA,NA
"zero_pred",NA,NA,0,NA,NA
"zero_pred",NA,NA,NA,0,NA
"zero_pred",NA,NA,NA,NA,0
